Line,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7
"it best becomes our places, To have our light from you the Sonne of Vertue,",etiquette,spatial,light,familial,ethics,,
"Stand forth you Vipers, that have suck'd bloud,",commands,animals,food,anatomy,,,
lopped a branch sprung from a royall tree:,violence,nature,social_status,,,,
On what ground sprung your hate,nature,emotions,,,,,
curse laid on Venecians jelousy.,mystical,politics,emotions,,,,
for sport and profit brought us in some Venician Comedy upon the Stage.,games__sports,economics,ethnicity__nationality,theatre,,,
"I should neuer heare Lanthorne and candle call'd for, But I should thinke it was for me and my Wife.",sensations,light,language,mental_faculty__state__entities,matrimony,,
"Kill not your justice, Duke, to saue our liues:",violence,judiciary,politics,assistance,life,,
That man is souleless that ne'er sinnes on earth.,men,privation,religion,time,nature,,
"your lustfull kinsman, I can title him no better, came sneaking to my house like a Promoter to spye flesh in the Lent",sexuality,familial,movement,domestic,judiciary,food,religion
all paines are but trifles to the horn of a Citizen.,suffering,economics,animals,politics,,,
I taken all this paines to bring thee to hanging,suffering,violence,,,,,
"I'll make a wry mouth at that, or it shall cost me a fall:",facial_expressions,anatomy,economics,destruction,,,
Jew. Monster. Dog-killer.,religion,deformities__disabilities,animals,violence,,,
"He scornes my company, till the day of Iudgement,",derision__offense___contempt,social_relations,time,religion,,,
"You hang together, that shall make you friends, An euerlasting hatred death soone ends",violence,social_relations,time,emotions,death,hindrance,
"Kings words like Fate, must neuer change their breath.",politics,language,mystical,transformation,breathing,,
"You malice-monger,",ethics,economics,,,,,
Justice that smiles on those on him must frown,judiciary,facial_expressions,,,,,
"my griefe springs from my shame,",emotions,nature,etiquette,,,,
"Thou monster of my blood [kinship], ",deformities__disabilities,anatomy,familial,,,,
"Laws thunder is but death,",judiciary,nature,death,,,,
"Thy head's your forfeit for your hearts offence,",anatomy,privation,derision__offense___contempt,,,,
"that I was borne to be hate's slaue,",reproduction,emotions,social_status,,,,
"The foode of Rumor, that deuour's my fame;",food,language,recognition,,,,
"lust's paramowre, A glorious Diuell, and the noble whore,",sexuality,emotions,religion,social_status,,,
"[Revenged] upon a Viper, that does get mine honour,",violence,animals,character_traits__nature,,,,
"Who loves Isabella the insatiate, Needs Atlas back for to content her lust,",emotions,sexuality,myth,anatomy,feelings,,
"That sacrilegious thiefe to Himens rights,",religion,economics,matrimony,,,,
"Making her lust her God, heau'n her delights.",sexuality,religion,,,,,
"Swell not proud heart, Ile quench your griefe in blood,",size,character_traits__nature,anatomy,consumption,emotions,,
"Dare your hand execute, whom my tongue condemnes,",resistance,violence,anatomy,recognition,,,
hate must our true love sever.,emotions,violence,,,,,
Reuenge to me is sweeter now then lust.,violence,food,sexuality,,,,
"Loue Armes my hand, makes my soul valiant,",emotions,weapons__armor,anatomy,religion,character_traits__nature,,
"wrongs now sits upon my sword, To fall more heauie to your cowards head, Then thunderbolts upon Ioues rifted Oakes:",ethics,weapons__armor,violence,weight,anatomy,nature,emotions
has your faith and reason left thee both?,religion,mental_faculty__state__entities,privation,,,,
That you art onely flesh wiyout a soule:,anatomy,religion,,,,,
Blind rage that will not let thee see your selfe.,deformities__disabilities,emotions,resistance,sensations,character_traits__nature,,
"Let reason govern rage,",mental_faculty__state__entities,social_relations,emotions,,,,
"In this attempt, your shame will ever liue.",violence,etiquette,time,life,,,
"Thou hast wrong'd the Phoenix of all women rarest,",ethics,mystical,women,,,,
"Thou dotest upon a diuell, not a woman, That ha's bewitcht thee with her Sorcerie, drown'd your soul in leathy faculties, ",mental_faculty__state__entities,religion,women,mystical,violence,myth,
"Her vselesse lust has benumb'd your knowledge, Thy intelectuall powers, obliuion smothers, That you art nothing but forgetfulnesse.",women,sexuality,sensations,mental_faculty__state__entities,violence,privation,
"Leaue her, and leave your shame where first you found'st it;",privation,etiquette,discovering,,,,
"live a bondslaue to diseased lust, Deuour'd in her gulfe-like appetite",life,social_status,medicine,sexuality,food,nature,
"infamy shall write your Epitaph, Thy memory leaves nothing but your crimes, A scandall to your name in future times.",etiquette,language,death,mental_faculty__state__entities,preservation,judiciary,time
Insatiate lust is Sire still to murther.,sexuality,social_status,violence,,,,
"if her heart blood were vext,",anatomy,emotions,,,,,
"This curse pursues female Adulterie, They'l swimme through blood for sinnes varietie:",mystical,hunting__fishing,women,sexuality,physical_activities,anatomy,religion
"Their pleasure like a sea groundlesse and wide, A womans lust was neuer satisfied.",sexuality,nature,spatial,women,time,,
"Feare whispers in my brest, I have a soul That blushes red, for tending bloudy facts,",emotions,language,anatomy,religion,facial_expressions,violence,
Thy counsell is the path leades me to heaven.,assistance,spatial,social_relations,religion,,,
"We have escap't the snares of her false Love,",danger__safety,hunting__fishing,deception,emotions,,,
"I was the Indian, yet you had the treasure.",ethnicity__nationality,economics,,,,,
"My faction often sweates, and oft takes cold, Then gilde true diligence o'er with gold.",social_relations,anatomy,temperature,economics,character_traits__nature,,
"Tis Whores and Panders, that makes earth like hell.",sexuality,nature,religion,,,,
"I am got out of lusts Laborinth,",spatial,sexuality,architecture,,,,
"Lust is like Aetna, and will ever burne.",sexuality,nature,time,fire,,,
Yet now desire is quench't flam'd once in height: ,sexuality,consumption,fire,spatial,,,
"Till man knowes hell, he neuer has firme faith.",mental_faculty__state__entities,religion,time,,,,
Out scritch-Owle messenger of my reuenges death,sounds,animals,social_status,violence,death,,
"you vassaile to my pleasure , Art not my footestoole, ",social_status,sexuality,anatomy,domestic,,,
Faint-hearted coward,consumption,anatomy,character_traits__nature,,,,
her sight like death doth feare me. ,sensations,death,emotions,,,,
stain of Nobility,cleaning,social_status,,,,,
"Within this prison, made of flesh and bone, I'd not trust Thunder with my fell reuenge,",incarceration,anatomy,social_relations,nature,violence,,
fame should Chronicle a womans acts!,recognition,language,women,physical_activities,,,
"Meane hate is stingless, and does only name me:",economics,emotions,animals,language,,,
"tis high blood that swells, Giue me reuenge, and damn me into hells,",spatial,anatomy,size,violence,religion,,
"Griefe must be speechlesse, ere the heart can breake.",emotions,language,anatomy,destruction,,,
"Forces united are the nerves of war, Mother and nurse of obseruation",military,social_relations,anatomy,familial,food,women,sensations
"Whose rare ingenious spright, fils all the world By looking on it selfe with piercing eyes - Will looke through strangers imbecilities.",character_traits__nature,spatial,nature,sensations,anatomy,social_relations,mental_faculty__state__entities
"What rarietie of women feeds my sight, And leades my sences in a maze of wonder?",women,food,sensations,social_relations,architecture,mental_faculty__state__entities,
"Bellona, you wert my mistris till I saw that shape But now my sword, Ile consecrate to her,",myth,women,sensations,appearance,weapons__armor,religion,
"Leaue Mars and become Cupids Martialist,",privation,myth,military,,,,
"Beauty can turn the rugged face of war, And make him smile upon delightfull peace, ",appearance,transformation,anatomy,military,facial_expressions,politics,
"[beauty] Courting her [peace] smoothly like a femallist,",appearance,politics,courting,sexuality,,,
"I grow a slave vnto my potent loue, Whose power change hearts, make our fate remoue.",social_status,emotions,transformation,anatomy,mystical,,
"Pleasure now ore-rules my blood,",sexuality,politics,anatomy,,,,
"Rage shall drown faint love in a crimson flood, were he caught, I'de make him murder's hand.",emotions,violence,colors,anatomy,incarceration,,
"her speech, whose powerfull breath, Is able to infuse life into death.",language,breathing,alchemy,life,death,,
"Diuinest woman, know my soul Is dedicated to your shrine of beauty,",religion,women,mental_faculty__state__entities,devotion,appearance,,
"Thou abstract drawne from natures empty store-house,",mental_faculty__state__entities,nature,privation,economics,,,
"I am your slaue, command my sword, my heart",social_status,commands,weapons__armor,anatomy,,,
"To cosen women is a trade 'mongst men,",deception,women,economics,men,,,
"Perils that that neuer mortall durst approve [for love], Ile double all the workes of Hercules",danger__safety,life,resistance,emotions,quantities,labor,myth
"He that dies resolute, does never die:",death,mental_faculty__state__entities,privation,,,,
"Death is but emptie Aire, the Fates have twisted.",death,nature,mystical,clothes,,,
"Where Cupid dances, on those globes of love, Feare is my vassall, when I frowne he flyes,",myth,joviality,anatomy,emotions,social_status,facial_expressions,danger__safety
"A hundred times in life, a coward dies.",time,life,character_traits__nature,death,,,
I am your plague to scourge your enemies.,medicine,violence,social_relations,,,,
"I'le wash your scandall off, when their hearts bleed",cleaning,etiquette,anatomy,injuries,,,
"Tell your fames poison, blood shall wash thee white,",language,recognition,medicine,anatomy,cleaning,colors,
"My spotlesse honor, is a slave to spite:",cleaning,recognition,social_status,resistance,,,
"These are the monsters Venice doth bring forth, Whose emptie soules are bankcrupt of true worth.",deformities__disabilities,politics,reproduction,spatial,religion,economics,
"Ignoble villens, their best blood shall prove, Reuenge fals heauy, that is rais'd by loue.",ethics,anatomy,judiciary,violence,weight,physical_activities,emotions
"Be God on earth, and revenge innocence,",religion,nature,violence,judiciary,,,
the white soul of honour,colors,religion,recognition,,,,
"Our Pleasures Protean-like in sundry shapes, Shall with varietie stirre daliance.",sexuality,myth,appearance,movement,joviality,,
"I am immortall, O divinest creature: Thou do'st excell the Gods, in wit and feature.",death,religion,mental_faculty__state__entities,appearance,,,
revenge now shakes his rods:,violence,men,weapons__armor,,,,
"Beautie condemnes you, stronger than the Gods.",appearance,judiciary,religion,,,,
"Come, Mars of louers, Vulcan is not here, Make vengeance like my bed, quite voide of feare.",movement,myth,emotions,violence,sexuality,privation,
"My senses are intranst, and in this slumber, I taste heau'ns ioyes, but cannot count the number.",sensations,sleep,food,religion,emotions,quantities,
let's deliuer them out of their earthly purgation; ,religion,spatial,nature,,,,
"a rule I still will keepe in brest,",judiciary,preservation,spatial,anatomy,,,
"To morrow they are executed leasse we reprieve them, Wee be their destinies to cast their fate.",time,violence,judiciary,mystical,,,
"Day was my night, and night must be my day",time,darkness,light,,,,
"The sunne shin'd on my pleasure, with my love,",nature,light,sexuality,emotions,,,
"darknesse must lend aide to my reuenge,",darkness,economics,assistance,violence,,,
"The stage of heau'n, is hung with solemne black, A time best fitting, to Act Tragedies,",theatre,religion,colors,time,etiquette,,
"The nights great Queene, that maiden gouernesse Musters black clouds, to hide her from the world, ",darkness,politics,women,adhesion,colors,nature,concealment
"The nights great Queene, that maiden] Afraide to looke on my bold enterprise.",darkness,politics,women,emotions,sensations,violence,
"Curs'd creatures messengers of death, possesse the world, Night-Rauens, scritch-owles, ",mystical,social_status,death,nature,darkness,animals,sounds
"vote-killing Mandrakes,",politics,violence,medicine,,,,
"The ghosts of misers, that imprison'd gold, Within the harmelesse bowels of the earth, ",mystical,economics,incarceration,spatial,anatomy,nature,
[The ghosts of misers] Are nights companions,mystical,economics,darkness,social_relations,,,
"That is the life-blood of deliciousnesse, ",life,anatomy,food,,,,
"Deem'd Isabella, Cupids Treasurer, Whose soul containes the richest gifts of love:",myth,economics,religion,spatial,emotions,,
"Her beautie from my heart, feare doth expell;",appearance,anatomy,emotions,medicine,,,
"They rellish pleasure best, that dread not hell.",food,sexuality,emotions,religion,,,
"slanderous villain, nurse of Obloquy, ",ethics,food,language,,,,
"[Villain] Whose poison'd breath, ha's speckl'd cleare faced vertue, And made a Leper of Isabella's fame,",ethics,medicine,breathing,cleaning,anatomy,recognition,
"[fame] That is as spotlesse, as the eye of heau'n.",recognition,cleaning,anatomy,religion,,,
Thy vitall thread's a cutting,life,clothes,violence,,,,
"Art not Guiaca turn'd Apostata, has pleasure once againe Turn'd thee againe a devil",religion,sexuality,transformation,,,,
"Whose hand, love makes your executioner.",anatomy,emotions,violence,,,,
"this the crowne of all my Actions, To purge the earth, of such a man turn'd monster.",politics,physical_activities,medicine,nature,men,transformation,deformities__disabilities
"your heart blood shall know, He that wrongs beautie, must be honors foe:",anatomy,mental_faculty__state__entities,ethics,appearance,recognition,social_relations,
"quarrell, armes the Spaniards spirit.",violence,weapons__armor,ethnicity__nationality,character_traits__nature,,,
He's war's best scholler can with safety kill.,military,education,danger__safety,violence,,,
"halfe your hate is dead,",quantities,emotions,death,,,,
"Valour makes murder light, which feare makes dead.",character_traits__nature,violence,mental_faculty__state__entities,emotions,death,,
"Whose this lies murdred, speake bloud-thirstie",violence,language,anatomy,food,,,
I prize revenge aboue my life.,economics,violence,spatial,life,,,
Fame's register to future times shall tell,recognition,language,time,,,,
"bloud, the maker ever promiseth, Shall though with slow yet with sure vengeance rest.",anatomy,religion,language,speed,mental_faculty__state__entities,violence,
"tis a guerdon earn'd, and must be paide, As sure reuenge, as it is sure a deede",economics,mental_faculty__state__entities,violence,,,,
"you art freed from out the serpent's jawes, That vilde Adultresse, whose sorceries Doth draw chaste men into incontinence:",incarceration,animals,anatomy,sexuality,mystical,men,
Whose tongue flowes over with harmefull eloquence.,anatomy,movement,violence,language,,,
"learne to loath, that killing Cockatrice?",education,emotions,violence,myth,,,
"I would in hell, From this sad minute, till the day of doom To re-inspire vaine Aesculapius.",religion,emotions,time,mental_faculty__state__entities,myth,,
"fill these crimson conduits, feele the fire Due to the damned",colors,anatomy,sensations,fire,religion,,
"cease to weepe in blood, or teach me too,",hindrance,emotions,anatomy,education,,,
"The bubbling wounds, do murmure for reuenge:",nature,injuries,sounds,violence,,,
Murder is the shadow of Adulterie And followes it to death.,violence,darkness,sexuality,social_relations,death,,
"Thy bewitch't fortunes, a free pardon giue:",mystical,judiciary,,,,,
"give life to him, That sits with Risus, and the full cheek't Bacchus, The rich and mighty Monarchs of the earth,",life,myth,anatomy,economics,politics,nature,
breake my breast,violence,anatomy,,,,,
"Divines and dying men may talke of hell, But in my heart the seuerall torments dwell.",mystical,death,language,religion,anatomy,violence,accommodation
"Although Neptune's cold, the waves of all the northern sea, Should flow for euer, through these guiltie hands, ",myth,temperature,nature,geography,time,judiciary,anatomy
"[the waves of all the northern sea, Should flow for euer, through these guiltie hands] Yet the sanguinolent staine would extant be.",anatomy,cleaning,appearance,nature,geography,judiciary,
"Had it been Cressus wealth, she should have died;",historical,economics,death,,,,
her lust Would make a slaughter house of Italy.,sexuality,violence,architecture,politics,,,
"Three Earles, one Vicount, and this valiant Spaniard, Are knowne to abeene the fuel to her lust:",quantities,social_status,politics,ethnicity__nationality,fire,sexuality,
"Here is a glasse, wherein to view her soule, ",appearance,sensations,religion,,,,
"vnfortunate Gentleman, Cropt by her hand, as some rude passenger Doth pluck the tender Roses in the budde,",suffering,social_status,architecture,anatomy,geography,violence,nature
none other then your dance of death.,joviality,death,,,,,
do not jest away your soul.,joviality,privation,religion,,,,
"Bless't be your hand, I sacrifice a kisse To it and vengeance",religion,anatomy,sexuality,violence,,,
"like a Chronicler of his own vice, In Epigrams and songs, he tuned my name, Renown'd me for a Strumpet in the Courts,",language,ethics,music,recognition,sexuality,politics,
I would not wish him living Were my life instant ransom,emotions,life,economics,time,,,
"Within the painted sepulcher of flesh, Lies in a dead consumption",spatial,art,death,anatomy,consumption,,
help to save What hand of man wants power to destroy.,assistance,anatomy,men,privation,destruction,,
"you merited the crowne of life,",recognition,politics,life,,,,
wish your dayes lengthn'd one summer longer.,emotions,time,nature,,,,
"Tyrant of France, sent hither by the diuell.",politics,commands,religion,,,,
"Servant, low as my destiny, I kneele to thee,",social_status,spatial,mystical,social_relations,,,
"art yet inspir'd from heau'n, Shew your Creators Image: be like him, Father of mercy.",mental_faculty__state__entities,religion,appearance,familial,judiciary,,
"God lay all your sinnes upon your head, And sinke thee with them, to infernall darknesse,",religion,anatomy,destruction,fire,darkness,,
Thou teacher of the furies cruelty.,education,myth,ethics,,,,
Such mercie find you in the day of doome.,judiciary,discovering,time,religion,,,
"[Your eye is] Forgetfull of what most it should behold,",anatomy,mental_faculty__state__entities,sensations,,,,
"Upon the instant morrow of her nuptials, Apostasy and wild revolt would show:",time,matrimony,religion,social_unrest,appearance,,
"Jealous, the Aire should ravish her chaste looks:",emotions,nature,sexuality,sensations,,,
"Doating like the creator in his models, Who viewes them every minute, and with care, Mixt in his feare of their obedience to him.",mental_faculty__state__entities,religion,sensations,time,art,emotions,devotion
"Suppose he sung through famous Italy, More common then the looser songs of Petrarch, To every seuerall Zanies instrument,",music,recognition,geography,art,sexuality,theatre,
"For he once lov'd her, lends his pined corps, Motion to bring him to her stage of honour, Where drown'd in woe",emotions,death,social_relations,theatre,recognition,violence,
"[your pardon] shall confirme more peace vnto my death, Than all the graue instructions of the Church.",judiciary,feelings,death,religion,,,
"Pardon belongs unto my holy weeds,",judiciary,religion,clothes,,,,
Let your death ransome your soul,death,economics,religion,,,,
"[the hair], these golden nets, That have insnar'd so many wanton youthes, Not one but has beene held a thred of life,",anatomy,economics,hunting__fishing,sexuality,lifes_cycle,clothes,life
I have liued too long in darknesse,life,time,darkness,,,,
"yet mine eyes with their majesticque light, Haue got new Muses, in a Poets spright.",anatomy,politics,light,myth,art,mystical,
"They [my eyes] have beene more gazed at then the God of Day, Their brightnes neuer could be flattered",anatomy,sensations,religion,time,light,recognition,
"you command'st a fixed cloud of Lawn, To Ecclipse eternally these minutes of light [my eyes]",commands,adhesion,nature,astrology,time,light,anatomy
"Murder and lust, downe with my ashes sinke.",violence,sexuality,spatial,death,,,
"like ingratefull seede perish in earth, That you may neuer spring against my soule,",recognition,nature,death,time,resistance,religion,
"Like weedes to choake it in the heauenly haruest, I fall to rise, mount to your maker, spirit,",nature,violence,religion,architecture,destruction,physical_activities,
"Leaue here your body, death has her demerit.",privation,anatomy,death,ethics,,,
"I am amazed at this maze of wonder, Wherein no thred or clue presents it self To winde us from the obscure passages,",mental_faculty__state__entities,spatial,clothes,appearance,movement,,
"like a fellon, cut him off: For feare he do pollute our sounder parts.",judiciary,violence,emotions,medicine,,,
"why should he steale, That is a loaden Vine?",economics,weight,food,,,,
"riches to him, Were adding sands into the Libian shore,",economics,quantities,nature,geography,,,
This murder lies heauie on my conscience.,violence,weight,ethics,,,,
"I am to die a dog's death, and will snarle a little",death,animals,sounds,,,,
"you are onely a Parenthesis, Which I will leave out of my execrations",language,privation,derision__offense___contempt,,,,
"our quondam wives, that makes us cry our Vowels In red Capitall letters",matrimony,emotions,language,colors,,,
"So Rivell'd with painting by that time they are thirty, that it May be held a worke of condigne merit But to looke upon 'em",consumption,appearance,lifes_cycle,labor,recognition,sensations,
"may they live, To ride in triumph in a Dung-cart And be crown'd with al the odious ceremonies belonging too 't:",life,equestrian,military,anatomy,politics,sensations,etiquette
May the cucking stool be their recreation,violence,joviality,,,,,
"May they have nine lives like a Cat, to endure this and more;",quantities,life,animals,suffering,,,
"I am governour of this castle of cornets,",politics,architecture,clothes,,,,
"I might haue liu'd like a gentleman,",life,social_status,,,,,
"I must die like a Hanger on [servant], Shew trickes upon a woodden horse, And runne through an Alphabet of scurvy faces:",death,social_status,games__sports,language,medicine,anatomy,
"we are singing the last Hymn, And readie to be turn'd off, Some new tune is inuenting, by some Metermonger, To a scurvy Ballad of our death.",music,hindrance,economics,medicine,art,death,
"Againe at our funerall Sermons, To have the Divine, divide his text into faire branches:",death,religion,language,nature,,,
"Hangman, tie not my halter of a true lovers knot, I shall burst it",death,emotions,clothes,violence,,,
"I'le winne your pardon, Or with teares like Niobe bedew a.",games__sports,judiciary,anatomy,myth,nature,,
"Hold your water Crocodile, ",hindrance,nature,animals,,,,
"Agamemnons daughter that was sacrific'd For a good winde, felt but a blast of the torments: Thou should'st indure",myth,familial,religion,nature,violence,suffering,
"I'de make thee swound Oftner, then that fellow that by his continuall practise Hopes to become Drum Maior.",consumption,social_relations,emotions,music,military,,
tickling to death with bodkins,derision__offense___contempt,death,weapons__armor,,,,
"Husband: I'le naile me to the earth, but I'le Winne your pardon.",matrimony,violence,nature,social_relations,judiciary,,
"Then beg my pardon, I had rather Chirurgions hall should begge my dead bodie For an Anatomie, than you begge my life:",language,judiciary,medicine,death,anatomy,life,
"as the cursed fate of curtezan, What she gleanes with her traded art, May one as a most due plague cheat from, In the last dotage of her tired lust, And leave her an vnpittied age of woe.",mystical,sexuality,economics,medicine,deception,mental_faculty__state__entities,emotions
"that a man had the instinct of a Lion, He knowes when the Lionesse place fals to him",men,animals,mental_faculty__state__entities,labor,women,,
"But these solaces, these women, They bring man to gray haires before he be thirty",feelings,women,men,colors,anatomy,lifes_cycle,
"they [women] cast out such mists of flatterie from their breath, That a mans lost again",women,nature,recognition,breathing,men,privation,
"I fell into my marriage bed drunke: Like the Leopard, well with sober eyes would I had avoided it;",sexuality,matrimony,food,animals,mental_faculty__state__entities,anatomy,danger__safety
Come grave and hide me from my blasted fame; O that you could'st as well conceale my shame.,death,concealment,violence,recognition,etiquette,,
"the Comick knitting up, Will move your spleene, unto the proper use, Of mirth, your naturall inclination: ",theatre,clothes,movement,anatomy,joviality,character_traits__nature,
"[the Comick knitting up] wipe away the watery couloured anger, From your inforced cheeke.",theatre,clothes,cleaning,colors,emotions,anatomy,
"these night workes require a Cats eyes, To impierce dejected darknesse",darkness,labor,animals,anatomy,violence,feelings,
"I had kept in my breath of purpose Thinking to go away [die] the quieter,",preservation,breathing,mental_faculty__state__entities,death,sounds,,
"Since you are to die, wee'll giue you winding sheetes, Wherein you shall be shrouded alive,",death,domestic,spatial,life,,,
"Chastitie? I will sooner expect a jesuites recantation: Or the great Turkes conversion, then her [wife] chastitie.",sexuality,religion,ethnicity__nationality,matrimony,,,
"Women and Devils, will deceive the wise.",women,religion,deception,mental_faculty__state__entities,,,
"I'le sooner beleeue A conjurer may say his prayers with zeal, Then her [wife] honestie. ",mental_faculty__state__entities,mystical,language,religion,matrimony,character_traits__nature,
"Had she [wife] been an Hermaphrodite I would scarce has given credit to you,",matrimony,sexuality,mental_faculty__state__entities,,,,
"Let him that has drunke love drugs trust a woman,  the air is not more common.",emotions,medicine,social_relations,women,nature,,
"Hee's stung already, as if his eyes were turn'd on Persies shield. There motion is fixt, like to the poole of Stix.",violence,anatomy,myth,weapons__armor,movement,adhesion,
"Yonders our flames, and from the hollow Arches, Of his quick eyes, comes commet traines of fire: Bursting like hidden furies, from their Caves,",fire,anatomy,astrology,violence,concealment,myth,accommodation
"Thy servant so made by his stars, A fire on your wandring starres",social_status,astrology,fire,movement,,,
"Satan, why hast you tempted my wife",religion,sexuality,matrimony,,,,
"seducer, I am branded in the forehead With your starre-marke. ",sexuality,violence,anatomy,astrology,,,
"May the starres drop upon thee, And with their sulphure vapours choake thee, ere you Come at the gallowes.",astrology,violence,fire,movement,,,
"Stretch not my patience, Mahomet.",spatial,character_traits__nature,religion,,,,
"I will scowre your gorge like a Hawke: you shalt swallow your own stone in this letter,",cleaning,anatomy,animals,food,materials,language,
"Spice of a new halter, when you go a ranging thus like Deuills, would you might burne for't as they doe.",violence,religion,fire,,,,
Here sunke our hate lower then any whirlepoole.,spatial,emotions,nature,,,,
"Would you have headlong runne to Infamy, In so defam'd a death?",movement,etiquette,recognition,death,,,
"I had rather roar to death with Phalaris' Bull, then Darius-like, to have one of my wings extend to Atlas, the other to Europa.",sounds,death,violence,animals,myth,spatial,geography
"Borne a man, but dyes a monster [cuckold].",reproduction,men,death,deformities__disabilities,sexuality,,
"They [cuckolds] spring from our Methusala,",sexuality,nature,religion,,,,
"From whose snares [women's], ",hunting__fishing,women,,,,,
"Before I would proue a Cuckold, I would indure a winters Pilgrimage in the Frozen Zone, Goe starke naked through Muscovia, where the Climate is degrees colder then Ice.",sexuality,suffering,nature,religion,temperature,geography,clothes
Love should mary jelousy,emotions,matrimony,,,,,
"When tis [fame] in a womans keeping, Let not Argos eyes be sleeping.",recognition,women,preservation,resistance,myth,anatomy,sleep
"That contains pure chastity, And each Virgin soueraignety, Wantonly she oped and lost, Gift whereof a god might boast.",cleaning,sexuality,politics,privation,economics,religion,language
"shouldst you Diana wed, Yet be jealous of her bed.",myth,matrimony,emotions,sexuality,,,
"Night, like a Masque, is entred heavens great hall, With thousand Torches ushering the way:",darkness,theatre,religion,architecture,quantities,fire,social_relations
Like Mycerinus cheating of the oracle We'll make this night the day. ,historical,deception,religion,darkness,time,,
[Murder] suffered scarcrow-like To fright adulterie?,violence,suffering,architecture,emotions,sexuality,,
"for as when the high births of Kings , We celebrate with all the City's Bells, jangling together in untuned confusion, All ordered Clocks are tied up",reproduction,politics,joviality,urban,music,mental_faculty__state__entities,time
"when Glory, Flattery, and smooth applauses of things ill, uphold the ordinate swindge of down-right power Justice, and truth, that tell the bounded use,",recognition,ethics,preservation,politics,judiciary,language,incarceration
"Virtuous, and well distinguished formes of Time, are gagged and tongue-tied",ethics,mental_faculty__state__entities,appearance,time,violence,anatomy,
"when pride entered them, and Rule by power, All brows that smiled beneath them, frowned",character_traits__nature,spatial,politics,facial_expressions,anatomy,,
"hearts grieved, By imitation; virtue quite was vanished",anatomy,emotions,art,ethics,consumption,,
"[Tyrants] their subjects virtues ever Managed with curbs, and dangers, and esteemed As shadows, and detractions to their own.",politics,ethics,equestrian,danger__safety,recognition,darkness,
"Idleness rusts us, since no virtuous labour Ends ought rewarded",character_traits__nature,consumption,ethics,labor,economics,,
"Ease, Securitie, Now all the Palm wears",feelings,danger__safety,anatomy,clothes,,,
"Our matchless race of Soldiers then would spend In public wars, not private brawls, their spirits",humanity,military,economics,politics,character_traits__nature,,
"consuming birth-rights In apishness, and envy of attire.",consumption,social_status,animals,emotions,clothes,,
"No labour then was harsh, no way so deep, No rock so steep, but if a Bird could scale it, up would our youth fly to.",labor,spatial,nature,animals,physical_activities,lifes_cycle,
"A Foe in arms Stirred up a much more lust of his encounter, than of a Mistress never so be-painted",social_relations,weapons__armor,movement,sexuality,women,appearance,
"Ambition then, was only scaling walls and over-topping turrets",character_traits__nature,physical_activities,architecture,,,,
Fame was wealth,recognition,economics,,,,,
Countries we won with as few men as Countries. Virtue subdued all.,politics,military,quantities,ethics,social_relations,,
"their [Nobles] own deeds hearing by others glorified, than be so barren, that their parts only stood in praising others.",social_status,politics,sensations,recognition,reproduction,,
"Avarice to upland Boors, slaves, hang-men, banished.",economics,geography,architecture,social_status,violence,politics,
"all their studies aiming At getting money, which no wise man ever Fed his desires with.",education,mental_faculty__state__entities,economics,food,emotions,,
"you most worthy to be greatest, Guise, Make with your greatness a new world arise.",social_relations,social_status,character_traits__nature,nature,,,
"had his apparition, and excitement, to suffer none but his hand in his wreak [revenge]",mystical,mental_faculty__state__entities,suffering,anatomy,violence,,
blinde greediness that followes gain,deformities__disabilities,economics,,,,,
"he will cast no danger, where her sweet feet tread.",danger__safety,anatomy,movement,,,,
"Wooing as freshly, as when first love shot His faultless arrows from her rosy eyes",courting,emotions,weapons__armor,hunting__fishing,anatomy,,
"use all speed, for so on needles' points My wife's heart stands with haste of the revenge",speed,mental_faculty__state__entities,matrimony,anatomy,violence,,
"Being  full of her brothers fire, That she imagines I neglect my vow;",familial,fire,mental_faculty__state__entities,privation,language,,
so past her sex she urges my vows performance [revenge],spatial,women,social_relations,language,violence,,
"Not showing her before I speak, the blood she so much thirsts for, freckling hands and face,",discovering,language,anatomy,food,,,
clear of any power to be Infected with the least dishonesty,judiciary,character_traits__nature,medicine,deception,,,
"that sincerity, we Politicians Must say, grows out of envy",character_traits__nature,politics,language,nature,emotions,,
"It is easy to make good suspected still, Where good, and God, are made but cloaks for ill.",mental_faculty__state__entities,religion,clothes,ethics,,,
In chief heat of his faction,temperature,social_unrest,,,,,
"how he hangs upon the ear of Guise, Like to his jewel.",adhesion,anatomy,economics,,,,
"It is fine hypocrisy, and cheap, and vulgar, known for a covert practise, yet believed [] no more than wives adulteries, by their Husbands",deception,economics,social_relations,concealment,mental_faculty__state__entities,sexuality,matrimony
"yet believed (by those abused souls, that they teach and govern) ",mental_faculty__state__entities,religion,education,politics,,,
"They bearing it [covert practice] with so unmoved aspects, hot comming from it; as it were not all, or made by custom nothing.",labor,concealment,emotions,facial_expressions,temperature,etiquette,privation
Is thought to embrace his virtues.,mental_faculty__state__entities,affection,ethics,,,,
breathes his brother's valour,breathing,familial,character_traits__nature,,,,
"Devour each other with your virtues zeal, And leave for other friends, no fragment",food,ethics,privation,social_relations,,,
"you will thus ravish him out of my bosom, that first gave the life his manhood breathes,",violence,spatial,anatomy,life,men,breathing,
